kind,name,id,time,team,combination_id
Start,ComputeScalar,Sense3_Pride1,2107302125932.0,Whatever,13
End,ComputeScalar,Sense3_Pride1,2107573984754.0,Whatever,13
Start,ComputeScalar,Sense3,2107574130512.0,Whatever,13
End,ComputeScalar,Sense3,2108116930520.0,Whatever,13
Start,ComputeCosine,Sense3_Pride1,2108117080253.0,Whatever,13
End,ComputeCosine,Sense3_Pride1,2108117145298.0,Whatever,13
Start,Tokenize,Sense3,2110123319760.0,Whatever,14
Start,Tokenize,Pride2,2110123333594.0,Whatever,14
End,Tokenize,Pride2,2110143057681.0,Whatever,14
Start,Collect,Pride2,2110143215580.0,Whatever,14
End,Tokenize,Sense3,2110145203528.0,Whatever,14
Start,Collect,Sense3,2110145321343.0,Whatever,14
End,Collect,Pride2,2110372564726.0,Whatever,14
Start,ComputeScalar,Pride2,2110372827102.0,Whatever,14
End,ComputeScalar,Pride2,2110527065949.0,Whatever,14
End,Collect,Sense3,2110988624588.0,Whatever,14
Start,ComputeScalar,Sense3_Pride2,2110988838050.0,Whatever,14
End,ComputeScalar,Sense3_Pride2,2111524374778.0,Whatever,14
Start,ComputeScalar,Sense3,2111524598450.0,Whatever,14
End,ComputeScalar,Sense3,2112059815483.0,Whatever,14
Start,ComputeCosine,Sense3_Pride2,2112059946930.0,Whatever,14
End,ComputeCosine,Sense3_Pride2,2112059967912.0,Whatever,14
Start,Tokenize,Sense3,2114066412761.0,Whatever,15
Start,Tokenize,Pride3,2114066712849.0,Whatever,15
End,Tokenize,Sense3,2114070748252.0,Whatever,15
Start,Collect,Sense3,2114070938227.0,Whatever,15
End,Tokenize,Pride3,2114071648757.0,Whatever,15
Start,Collect,Pride3,2114071753246.0,Whatever,15
End,Collect,Sense3,2115144055935.0,Whatever,15
Start,ComputeScalar,Sense3,2115144238202.0,Whatever,15
End,Collect,Pride3,2115161109413.0,Whatever,15
End,ComputeScalar,Sense3,2115685322550.0,Whatever,15
Start,ComputeScalar,Pride3,2115685426366.0,Whatever,15
End,ComputeScalar,Pride3,2116207946194.0,Whatever,15
Start,ComputeScalar,Sense3_Pride3,2116208060039.0,Whatever,15
End,ComputeScalar,Sense3_Pride3,2117212754414.0,Whatever,15
Start,ComputeCosine,Sense3_Pride3,2117212889747.0,Whatever,15
End,ComputeCosine,Sense3_Pride3,2117212916739.0,Whatever,15
Start,Tokenize,Sense3,2119219602751.0,Whatever,16
Start,Tokenize,Pride4,2119219686906.0,Whatever,16
End,Tokenize,Sense3,2119239876914.0,Whatever,16
Start,Collect,Sense3,2119240044849.0,Whatever,16
End,Tokenize,Pride4,2119246250262.0,Whatever,16
Start,Collect,Pride4,2119246361134.0,Whatever,16
End,Collect,Sense3,2120314923803.0,Whatever,16
Start,ComputeScalar,Sense3,2120315187620.0,Whatever,16
End,ComputeScalar,Sense3,2121026329916.0,Whatever,16
End,Collect,Pride4,2123422009187.0,Whatever,16
Start,ComputeScalar,Pride4,2123422164289.0,Whatever,16
End,ComputeScalar,Pride4,2125534240089.0,Whatever,16
Start,ComputeScalar,Sense3_Pride4,2125534357421.0,Whatever,16
End,ComputeScalar,Sense3_Pride4,2128049355416.0,Whatever,16
Start,ComputeCosine,Sense3_Pride4,2128049483989.0,Whatever,16
End,ComputeCosine,Sense3_Pride4,2128049503290.0,Whatever,16
Start,Tokenize,Sense3,2130057337158.0,Whatever,17
Start,Tokenize,Pride5,2130057402921.0,Whatever,17
End,Tokenize,Sense3,2130064430846.0,Whatever,17
Start,Collect,Sense3,2130064585169.0,Whatever,17
End,Tokenize,Pride5,2130077534916.0,Whatever,17
Start,Collect,Pride5,2130077686613.0,Whatever,17
End,Collect,Sense3,2131122546030.0,Whatever,17
Start,ComputeScalar,Sense3,2131122742776.0,Whatever,17
End,ComputeScalar,Sense3,2131844263594.0,Whatever,17
End,Collect,Pride5,2147848953338.0,Whatever,17
Start,ComputeScalar,Pride5,2147849102136.0,Whatever,17
End,ComputeScalar,Pride5,2156855712783.0,Whatever,17
Start,ComputeScalar,Sense3_Pride5,2156855826317.0,Whatever,17
End,ComputeScalar,Sense3_Pride5,2162281496121.0,Whatever,17
Start,ComputeCosine,Sense3_Pride5,2162281651770.0,Whatever,17
End,ComputeCosine,Sense3_Pride5,2162281673890.0,Whatever,17
Start,Tokenize,Sense3,2164580569611.0,Whatever,18
Start,Tokenize,Pride6,2164580624299.0,Whatever,18
End,Tokenize,Sense3,2164585481339.0,Whatever,18
Start,Collect,Sense3,2164585636946.0,Whatever,18
End,Tokenize,Pride6,2164630524131.0,Whatever,18
Start,Collect,Pride6,2164630675273.0,Whatever,18
End,Collect,Sense3,2165535929480.0,Whatever,18
Start,ComputeScalar,Sense3,2165536126285.0,Whatever,18
End,ComputeScalar,Sense3,2166153396529.0,Whatever,18
End,Collect,Pride6,2226077126301.0,Whatever,18
Start,ComputeScalar,Sense3_Pride6,2226077308441.0,Whatever,18
End,ComputeScalar,Sense3_Pride6,2234702249386.0,Whatever,18
Start,ComputeScalar,Pride6,2234702365299.0,Whatever,18
End,ComputeScalar,Pride6,2261592302339.0,Whatever,18
Start,ComputeCosine,Sense3_Pride6,2261592449758.0,Whatever,18
End,ComputeCosine,Sense3_Pride6,2261592476710.0,Whatever,18
Start,Tokenize,Sense4,2263610062677.0,Whatever,19
Start,Tokenize,Pride1,2263610276013.0,Whatever,19
End,Tokenize,Pride1,2263612094592.0,Whatever,19
Start,Collect,Pride1,2263612207000.0,Whatever,19
End,Tokenize,Sense4,2263618487638.0,Whatever,19
Start,Collect,Sense4,2263618614613.0,Whatever,19
End,Collect,Pride1,2263664443495.0,Whatever,19
Start,ComputeScalar,Pride1,2263664596816.0,Whatever,19
End,ComputeScalar,Pride1,2263728130798.0,Whatever,19
End,Collect,Sense4,2267105180769.0,Whatever,19
Start,ComputeScalar,Sense4,2267105322188.0,Whatever,19
End,ComputeScalar,Sense4,2269256493071.0,Whatever,19
Start,ComputeScalar,Sense4_Pride1,2269256618137.0,Whatever,19
End,ComputeScalar,Sense4_Pride1,2269926002810.0,Whatever,19
Start,ComputeCosine,Sense4_Pride1,2269926227796.0,Whatever,19
End,ComputeCosine,Sense4_Pride1,2269926269184.0,Whatever,19
Start,Tokenize,Sense4,2271931689175.0,Whatever,20
Start,Tokenize,Pride2,2271931795072.0,Whatever,20
End,Tokenize,Pride2,2271934990702.0,Whatever,20
Start,Collect,Pride2,2271935137533.0,Whatever,20
End,Tokenize,Sense4,2271942397701.0,Whatever,20
Start,Collect,Sense4,2271942542029.0,Whatever,20
End,Collect,Pride2,2272155249465.0,Whatever,20
Start,ComputeScalar,Pride2,2272155922163.0,Whatever,20
End,ComputeScalar,Pride2,2272314266239.0,Whatever,20
End,Collect,Sense4,2275441766368.0,Whatever,20
Start,ComputeScalar,Sense4_Pride2,2275441965011.0,Whatever,20
End,ComputeScalar,Sense4_Pride2,2276776306735.0,Whatever,20
Start,ComputeScalar,Sense4,2276776410418.0,Whatever,20
End,ComputeScalar,Sense4,2278828635462.0,Whatever,20
Start,ComputeCosine,Sense4_Pride2,2278828795016.0,Whatever,20
End,ComputeCosine,Sense4_Pride2,2278828814124.0,Whatever,20
Start,Tokenize,Sense4,2280835041412.0,Whatever,21
Start,Tokenize,Pride3,2280835080988.0,Whatever,21
End,Tokenize,Pride3,2280839769507.0,Whatever,21
Start,Collect,Pride3,2280839931496.0,Whatever,21
End,Tokenize,Sense4,2280845611275.0,Whatever,21
Start,Collect,Sense4,2280845709068.0,Whatever,21
End,Collect,Pride3,2281931901414.0,Whatever,21
Start,ComputeScalar,Pride3,2281932054174.0,Whatever,21
End,ComputeScalar,Pride3,2282626594898.0,Whatever,21
End,Collect,Sense4,2284834565458.0,Whatever,21
Start,ComputeScalar,Sense4,2284834709144.0,Whatever,21
End,ComputeScalar,Sense4,2287016014160.0,Whatever,21
Start,ComputeScalar,Sense4_Pride3,2287016151697.0,Whatever,21
End,ComputeScalar,Sense4_Pride3,2289329565793.0,Whatever,21
Start,ComputeCosine,Sense4_Pride3,2289329700826.0,Whatever,21
End,ComputeCosine,Sense4_Pride3,2289329723341.0,Whatever,21
Start,Tokenize,Sense4,2291335295323.0,Whatever,22
Start,Tokenize,Pride4,2291335336367.0,Whatever,22
End,Tokenize,Sense4,2291364962154.0,Whatever,22
Start,Collect,Sense4,2291365177263.0,Whatever,22
End,Tokenize,Pride4,2291366055886.0,Whatever,22
Start,Collect,Pride4,2291366121308.0,Whatever,22
End,Collect,Sense4,2297570416666.0,Whatever,22
Start,ComputeScalar,Sense4,2297570578273.0,Whatever,22
End,Collect,Pride4,2298009068786.0,Whatever,22
End,ComputeScalar,Sense4,2299817942271.0,Whatever,22
Start,ComputeScalar,Pride4,2299818075964.0,Whatever,22
End,ComputeScalar,Pride4,2301940118741.0,Whatever,22
Start,ComputeScalar,Sense4_Pride4,2301940209705.0,Whatever,22
End,ComputeScalar,Sense4_Pride4,2306502334548.0,Whatever,22
Start,ComputeCosine,Sense4_Pride4,2306502440344.0,Whatever,22
End,ComputeCosine,Sense4_Pride4,2306502459408.0,Whatever,22
Start,Tokenize,Sense4,2308509068737.0,Whatever,23
Start,Tokenize,Pride5,2308509149991.0,Whatever,23
End,Tokenize,Sense4,2308522323544.0,Whatever,23
Start,Collect,Sense4,2308524093326.0,Whatever,23
End,Tokenize,Pride5,2308530486165.0,Whatever,23
Start,Collect,Pride5,2308530595831.0,Whatever,23
End,Collect,Sense4,2314741249124.0,Whatever,23
Start,ComputeScalar,Sense4,2314741447763.0,Whatever,23
End,ComputeScalar,Sense4,2318740513241.0,Whatever,23
End,Collect,Pride5,2330779034919.0,Whatever,23
Start,ComputeScalar,Pride5,2330779174357.0,Whatever,23
End,ComputeScalar,Pride5,2339895878299.0,Whatever,23
Start,ComputeScalar,Sense4_Pride5,2339896022622.0,Whatever,23
End,ComputeScalar,Sense4_Pride5,2350013631981.0,Whatever,23
Start,ComputeCosine,Sense4_Pride5,2350013850441.0,Whatever,23
End,ComputeCosine,Sense4_Pride5,2350013864649.0,Whatever,23
Start,Tokenize,Sense4,2352047588799.0,Whatever,24
Start,Tokenize,Pride6,2352047647651.0,Whatever,24
End,Tokenize,Sense4,2352060369693.0,Whatever,24
Start,Collect,Sense4,2352060472477.0,Whatever,24
End,Tokenize,Pride6,2352082876828.0,Whatever,24
Start,Collect,Pride6,2352083010354.0,Whatever,24
End,Collect,Sense4,2358440110470.0,Whatever,24
Start,ComputeScalar,Sense4,2358440287521.0,Whatever,24
End,ComputeScalar,Sense4,2362456275708.0,Whatever,24
End,Collect,Pride6,2431608034861.0,Whatever,24
Start,ComputeScalar,Pride6,2431608128918.0,Whatever,24
End,ComputeScalar,Pride6,2464725073078.0,Whatever,24
Start,ComputeScalar,Sense4_Pride6,2464725162289.0,Whatever,24
End,ComputeScalar,Sense4_Pride6,2483317428719.0,Whatever,24
Start,ComputeCosine,Sense4_Pride6,2483317519502.0,Whatever,24
End,ComputeCosine,Sense4_Pride6,2483317533033.0,Whatever,24
Start,Tokenize,Sense5,2485341842096.0,Whatever,25
Start,Tokenize,Pride1,2485341929412.0,Whatever,25
End,Tokenize,Pride1,2485343482267.0,Whatever,25
Start,Collect,Pride1,2485343562971.0,Whatever,25
End,Tokenize,Sense5,2485365510232.0,Whatever,25
Start,Collect,Sense5,2485365654280.0,Whatever,25
End,Collect,Pride1,2485403918517.0,Whatever,25
Start,ComputeScalar,Pride1,2485404014869.0,Whatever,25
End,ComputeScalar,Pride1,2485442895371.0,Whatever,25
End,Collect,Sense5,2501759576216.0,Whatever,25
Start,ComputeScalar,Sense5_Pride1,2501759675188.0,Whatever,25
End,ComputeScalar,Sense5_Pride1,2503092688893.0,Whatever,25
Start,ComputeScalar,Sense5,2503092780586.0,Whatever,25
End,ComputeScalar,Sense5,2511557302459.0,Whatever,25
Start,ComputeCosine,Sense5_Pride1,2511557402408.0,Whatever,25
End,ComputeCosine,Sense5_Pride1,2511557413728.0,Whatever,25
Start,Tokenize,Sense5,2513563360003.0,Whatever,26
Start,Tokenize,Pride2,2513563413358.0,Whatever,26
End,Tokenize,Pride2,2513565685680.0,Whatever,26
Start,Collect,Pride2,2513565775237.0,Whatever,26
End,Tokenize,Sense5,2513579312653.0,Whatever,26
Start,Collect,Sense5,2513579429654.0,Whatever,26
End,Collect,Pride2,2513794797366.0,Whatever,26
Start,ComputeScalar,Pride2,2513794897354.0,Whatever,26
End,ComputeScalar,Pride2,2513948334174.0,Whatever,26
End,Collect,Sense5,2530354337092.0,Whatever,26
Start,ComputeScalar,Sense5_Pride2,2530354437704.0,Whatever,26
End,ComputeScalar,Sense5_Pride2,2532104238372.0,Whatever,26
Start,ComputeScalar,Sense5,2532104323487.0,Whatever,26
End,ComputeScalar,Sense5,2538151901256.0,Whatever,26
Start,ComputeCosine,Sense5_Pride2,2538151991230.0,Whatever,26
End,ComputeCosine,Sense5_Pride2,2538151998578.0,Whatever,26
Start,Tokenize,Sense5,2540157904418.0,Whatever,27
Start,Tokenize,Pride3,2540157974950.0,Whatever,27
End,Tokenize,Pride3,2540161657695.0,Whatever,27
Start,Collect,Pride3,2540161770518.0,Whatever,27
End,Tokenize,Sense5,2540172380692.0,Whatever,27
Start,Collect,Sense5,2540172493158.0,Whatever,27
End,Collect,Pride3,2541290372279.0,Whatever,27
Start,ComputeScalar,Pride3,2541290501794.0,Whatever,27
End,ComputeScalar,Pride3,2542013235675.0,Whatever,27
End,Collect,Sense5,2557081463948.0,Whatever,27
Start,ComputeScalar,Sense5_Pride3,2557081569118.0,Whatever,27
End,ComputeScalar,Sense5_Pride3,2562037072925.0,Whatever,27
Start,ComputeScalar,Sense5,2562037164653.0,Whatever,27
End,ComputeScalar,Sense5,2570551712173.0,Whatever,27
Start,ComputeCosine,Sense5_Pride3,2570551807402.0,Whatever,27
End,ComputeCosine,Sense5_Pride3,2570551821241.0,Whatever,27
Start,Tokenize,Sense5,2572558470380.0,Whatever,28
Start,Tokenize,Pride4,2572558521521.0,Whatever,28
End,Tokenize,Pride4,2572566089397.0,Whatever,28
Start,Collect,Pride4,2572566213226.0,Whatever,28
End,Tokenize,Sense5,2572573113716.0,Whatever,28
Start,Collect,Sense5,2572573193376.0,Whatever,28
End,Collect,Pride4,2579280525415.0,Whatever,28
Start,ComputeScalar,Pride4,2579280687326.0,Whatever,28
End,ComputeScalar,Pride4,2583465443770.0,Whatever,28
End,Collect,Sense5,2594056302881.0,Whatever,28
Start,ComputeScalar,Sense5,2594056397639.0,Whatever,28
End,ComputeScalar,Sense5,2602633247833.0,Whatever,28
Start,ComputeScalar,Sense5_Pride4,2602633356431.0,Whatever,28
End,ComputeScalar,Sense5_Pride4,2612180726321.0,Whatever,28
Start,ComputeCosine,Sense5_Pride4,2612180863693.0,Whatever,28
End,ComputeCosine,Sense5_Pride4,2612180879683.0,Whatever,28
Start,Tokenize,Sense5,2614187951137.0,Whatever,29
Start,Tokenize,Pride5,2614188039473.0,Whatever,29
End,Tokenize,Sense5,2614249851589.0,Whatever,29
Start,Collect,Sense5,2614249963374.0,Whatever,29
End,Tokenize,Pride5,2614250504431.0,Whatever,29
Start,Collect,Pride5,2614250549788.0,Whatever,29
End,Collect,Sense5,2636813884207.0,Whatever,29
Start,ComputeScalar,Sense5,2636814038545.0,Whatever,29
End,Collect,Pride5,2638086117015.0,Whatever,29
End,ComputeScalar,Sense5,2644156751684.0,Whatever,29
