kind,name,id,time,team,combination_id
Start,Tokenize,Pride2,1188563824017170.0,KrIptonLab-csi,8
Start,Tokenize,Sense2,1188563828055942.0,KrIptonLab-csi,8
End,Tokenize,Pride2,1188563903333575.0,KrIptonLab-csi,8
Start,Collect,Pride2,1188563903554245.0,KrIptonLab-csi,8
End,Tokenize,Sense2,1188563907076673.0,KrIptonLab-csi,8
Start,Collect,Sense2,1188563907235760.0,KrIptonLab-csi,8
End,Collect,Pride2,1188563908368716.0,KrIptonLab-csi,8
Start,ComputeScalar,Pride2,1188563908521883.0,KrIptonLab-csi,8
End,Collect,Sense2,1188563911977596.0,KrIptonLab-csi,8
Start,ComputeScalar,Sense2,1188563912346695.0,KrIptonLab-csi,8
Start,ComputeScalar,Pride2_Sense2,1188563912916331.0,KrIptonLab-csi,8
End,ComputeScalar,Pride2,1188563913376619.0,KrIptonLab-csi,8
End,ComputeScalar,Pride2_Sense2,1188563918976660.0,KrIptonLab-csi,8
End,ComputeScalar,Sense2,1188563919202067.0,KrIptonLab-csi,8
Start,ComputeCosine,Pride2_Sense2,1188563919309046.0,KrIptonLab-csi,8
End,ComputeCosine,Pride2_Sense2,1188563919369839.0,KrIptonLab-csi,8
Start,Tokenize,Pride2,1188563945456648.0,KrIptonLab-csi,9
Start,Tokenize,Sense3,1188563959892168.0,KrIptonLab-csi,9
End,Tokenize,Pride2,1188563964569658.0,KrIptonLab-csi,9
Start,Collect,Pride2,1188563964720850.0,KrIptonLab-csi,9
End,Collect,Pride2,1188563970017716.0,KrIptonLab-csi,9
Start,ComputeScalar,Pride2,1188563970371420.0,KrIptonLab-csi,9
End,ComputeScalar,Pride2,1188564042637837.0,KrIptonLab-csi,9
End,Tokenize,Sense3,1188564060680657.0,KrIptonLab-csi,9
Start,Collect,Sense3,1188564061127919.0,KrIptonLab-csi,9
End,Collect,Sense3,1188564070885158.0,KrIptonLab-csi,9
Start,ComputeScalar,Sense3,1188564071039509.0,KrIptonLab-csi,9
Start,ComputeScalar,Pride2_Sense3,1188564072258127.0,KrIptonLab-csi,9
End,ComputeScalar,Pride2_Sense3,1188564076003199.0,KrIptonLab-csi,9
End,ComputeScalar,Sense3,1188564081364410.0,KrIptonLab-csi,9
Start,ComputeCosine,Pride2_Sense3,1188564081520735.0,KrIptonLab-csi,9
End,ComputeCosine,Pride2_Sense3,1188564081560210.0,KrIptonLab-csi,9
Start,Tokenize,Pride2,1188564141218050.0,KrIptonLab-csi,10
Start,Tokenize,Sense4,1188564142454433.0,KrIptonLab-csi,10
End,Tokenize,Pride2,1188564160173551.0,KrIptonLab-csi,10
Start,Collect,Pride2,1188564160694632.0,KrIptonLab-csi,10
End,Collect,Pride2,1188564164702218.0,KrIptonLab-csi,10
Start,ComputeScalar,Pride2,1188564164809987.0,KrIptonLab-csi,10
End,ComputeScalar,Pride2,1188564168381759.0,KrIptonLab-csi,10
End,Tokenize,Sense4,1188564258602966.0,KrIptonLab-csi,10
Start,Collect,Sense4,1188564259361297.0,KrIptonLab-csi,10
End,Collect,Sense4,1188564278609314.0,KrIptonLab-csi,10
Start,ComputeScalar,Sense4,1188564279402383.0,KrIptonLab-csi,10
Start,ComputeScalar,Pride2_Sense4,1188564285068348.0,KrIptonLab-csi,10
End,ComputeScalar,Pride2_Sense4,1188564290774973.0,KrIptonLab-csi,10
End,ComputeScalar,Sense4,1188564295685371.0,KrIptonLab-csi,10
Start,ComputeCosine,Pride2_Sense4,1188564296727533.0,KrIptonLab-csi,10
End,ComputeCosine,Pride2_Sense4,1188564297015706.0,KrIptonLab-csi,10
Start,Tokenize,Pride2,1188564341807345.0,KrIptonLab-csi,11
Start,Tokenize,Sense5,1188564341807740.0,KrIptonLab-csi,11
End,Tokenize,Pride2,1188564364076052.0,KrIptonLab-csi,11
Start,Collect,Pride2,1188564364417913.0,KrIptonLab-csi,11
End,Collect,Pride2,1188564368815914.0,KrIptonLab-csi,11
Start,ComputeScalar,Pride2,1188564368977765.0,KrIptonLab-csi,11
End,ComputeScalar,Pride2,1188564373010221.0,KrIptonLab-csi,11
End,Tokenize,Sense5,1188564546087630.0,KrIptonLab-csi,11
Start,Collect,Sense5,1188564546222637.0,KrIptonLab-csi,11
End,Collect,Sense5,1188564586211647.0,KrIptonLab-csi,11
Start,ComputeScalar,Sense5,1188564586356918.0,KrIptonLab-csi,11
Start,ComputeScalar,Pride2_Sense5,1188564586381788.0,KrIptonLab-csi,11
End,ComputeScalar,Pride2_Sense5,1188564593508753.0,KrIptonLab-csi,11
End,ComputeScalar,Sense5,1188564610944830.0,KrIptonLab-csi,11
Start,ComputeCosine,Pride2_Sense5,1188564611428803.0,KrIptonLab-csi,11
End,ComputeCosine,Pride2_Sense5,1188564611471832.0,KrIptonLab-csi,11
Start,Tokenize,Pride2,1188564632517184.0,KrIptonLab-csi,12
Start,Tokenize,Sense6,1188564632564949.0,KrIptonLab-csi,12
End,Tokenize,Pride2,1188564664671426.0,KrIptonLab-csi,12
Start,Collect,Pride2,1188564664787091.0,KrIptonLab-csi,12
End,Collect,Pride2,1188564669728674.0,KrIptonLab-csi,12
Start,ComputeScalar,Pride2,1188564669863287.0,KrIptonLab-csi,12
End,ComputeScalar,Pride2,1188564673992458.0,KrIptonLab-csi,12
End,Tokenize,Sense6,1188564997359067.0,KrIptonLab-csi,12
Start,Collect,Sense6,1188564997541840.0,KrIptonLab-csi,12
End,Collect,Sense6,1188565064919177.0,KrIptonLab-csi,12
Start,ComputeScalar,Sense6,1188565065080633.0,KrIptonLab-csi,12
Start,ComputeScalar,Pride2_Sense6,1188565065310382.0,KrIptonLab-csi,12
End,ComputeScalar,Pride2_Sense6,1188565071132672.0,KrIptonLab-csi,12
End,ComputeScalar,Sense6,1188565110998122.0,KrIptonLab-csi,12
Start,ComputeCosine,Pride2_Sense6,1188565111592628.0,KrIptonLab-csi,12
End,ComputeCosine,Pride2_Sense6,1188565111655395.0,KrIptonLab-csi,12
Start,Tokenize,Pride3,1188565169584193.0,KrIptonLab-csi,13
Start,Tokenize,Sense1,1188565170068561.0,KrIptonLab-csi,13
End,Tokenize,Sense1,1188565182230668.0,KrIptonLab-csi,13
Start,Collect,Sense1,1188565182344358.0,KrIptonLab-csi,13
End,Collect,Sense1,1188565184243935.0,KrIptonLab-csi,13
Start,ComputeScalar,Sense1,1188565184339861.0,KrIptonLab-csi,13
End,ComputeScalar,Sense1,1188565185310177.0,KrIptonLab-csi,13
End,Tokenize,Pride3,1188565203531428.0,KrIptonLab-csi,13
Start,Collect,Pride3,1188565203684594.0,KrIptonLab-csi,13
End,Collect,Pride3,1188565211545415.0,KrIptonLab-csi,13
Start,ComputeScalar,Pride3,1188565211662263.0,KrIptonLab-csi,13
Start,ComputeScalar,Pride3_Sense1,1188565212441911.0,KrIptonLab-csi,13
End,ComputeScalar,Pride3_Sense1,1188565218253936.0,KrIptonLab-csi,13
End,ComputeScalar,Pride3,1188565219941528.0,KrIptonLab-csi,13
Start,ComputeCosine,Pride3_Sense1,1188565220666304.0,KrIptonLab-csi,13
End,ComputeCosine,Pride3_Sense1,1188565220720781.0,KrIptonLab-csi,13
Start,Tokenize,Pride3,1188565251299939.0,KrIptonLab-csi,14
Start,Tokenize,Sense2,1188565251318492.0,KrIptonLab-csi,14
End,Tokenize,Sense2,1188565274753315.0,KrIptonLab-csi,14
Start,Collect,Sense2,1188565274896218.0,KrIptonLab-csi,14
End,Collect,Sense2,1188565278642079.0,KrIptonLab-csi,14
Start,ComputeScalar,Sense2,1188565278769191.0,KrIptonLab-csi,14
End,ComputeScalar,Sense2,1188565281312618.0,KrIptonLab-csi,14
End,Tokenize,Pride3,1188565296690031.0,KrIptonLab-csi,14
Start,Collect,Pride3,1188565296847539.0,KrIptonLab-csi,14
End,Collect,Pride3,1188565302148748.0,KrIptonLab-csi,14
Start,ComputeScalar,Pride3,1188565302263622.0,KrIptonLab-csi,14
Start,ComputeScalar,Pride3_Sense2,1188565302459028.0,KrIptonLab-csi,14
End,ComputeScalar,Pride3,1188565307618123.0,KrIptonLab-csi,14
End,ComputeScalar,Pride3_Sense2,1188565309084255.0,KrIptonLab-csi,14
Start,ComputeCosine,Pride3_Sense2,1188565309546122.0,KrIptonLab-csi,14
End,ComputeCosine,Pride3_Sense2,1188565309593888.0,KrIptonLab-csi,14
Start,Tokenize,Pride3,1188565338268337.0,KrIptonLab-csi,15
Start,Tokenize,Sense3,1188565407190363.0,KrIptonLab-csi,15
End,Tokenize,Sense3,1188565446089051.0,KrIptonLab-csi,15
Start,Collect,Sense3,1188565446203926.0,KrIptonLab-csi,15
End,Tokenize,Pride3,1188565447452546.0,KrIptonLab-csi,15
Start,Collect,Pride3,1188565447767563.0,KrIptonLab-csi,15
